IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£)
000031-01012017,1/1/17,2017,12:36:52 AM,0,Fire,Primary Fire,,Non Residential,Pub/wine bar/bar ,Correct incident location,W3 9BH,W3,12095531,20602317,E09000009,EALING,Ealing,E05000188,SOUTH ACTON,SOUTH ACTON,519802.0,180251.0,519850,180250,51.50849933,-0.275104119,London,Acton,131.0,Acton,302.0,Chiswick,4.0,4.0,20.0,60.0,19560.0
000306-01012017,1/1/17,2017,2:48:06 PM,14,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,SW17,0,22900486,E09000032,WANDSWORTH,Wandsworth,E05000616,GRAVENEY,GRAVENEY,,,527750,170850,,,London,Tooting,298.0,Tooting,300.0,Tooting,1.0,2.0,2.0,1.0,326.0
000445-01012017,1/1/17,2017,9:38:42 PM,21,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,NW8,0,8400481,E09000033,WESTMINSTER,Westminster,E05000634,CHURCH STREET,CHURCH STREET,,,527150,182450,,,London,Paddington,351.0,Euston,354.0,Paddington,4.0,4.0,4.0,1.0,326.0
000268-01012017,1/1/17,2017,12:40:06 PM,12,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,HA3 5RQ,HA3,100021294972,21202465,E09000015,HARROW,Harrow,E05000304,WEALDSTONE,WEALDSTONE,515069.0,189993.0,515050,189950,51.59704061,-0.340088284,London,Harrow,463.0,Stanmore,,,1.0,1.0,1.0,1.0,326.0
000011-01012017,1/1/17,2017,12:17:35 AM,0,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,HA1,0,20203055,E09000005,BRENT,Brent,E05000096,NORTHWICK PARK,NORTHWICK PARK,,,516750,187450,,,London,Wembley,421.0,Wembley,442.0,Wembley,1.0,2.0,2.0,1.0,326.0
000019-01012017,1/1/17,2017,12:28:08 AM,0,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,NW8,0,8400699,E09000033,WESTMINSTER,Westminster,E05000630,ABBEY ROAD,ABBEY ROAD,,,526850,183250,,,London,Paddington,281.0,West Hampstead,290.0,Paddington,3.0,4.0,4.0,2.0,652.0
000398-01012017,1/1/17,2017,7:35:10 PM,19,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,NW10,0,20200029,E09000005,BRENT,Brent,E05000100,STONEBRIDGE,STONEBRIDGE,,,520850,184950,,,London,Park Royal,344.0,Park Royal,391.0,Willesden,2.0,2.0,2.0,1.0,326.0
000006-01012017,1/1/17,2017,12:07:57 AM,0,Fire,Primary Fire,,Non Residential,Restaurant/cafe,Correct incident location,IG11 8TB,IG11,100019071,19900226,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05000026,ABBEY,ABBEY,544654.0,184596.0,544650,184550,51.54173192,0.08455025699999999,London,Barking,282.0,Barking,,,1.0,2.0,2.0,3.0,978.0
000337-01012017,1/1/17,2017,4:22:44 PM,16,Special Service,Special Service,Lift Release,Other Residential,Nursing/Care Home/Hospice,Correct incident location,HA3 7HL,HA3,10010597780,21201479,E09000015,HARROW,Harrow,E05000290,HARROW WEALD,HARROW WEALD,515859.0,190851.0,515850,190850,51.60459031,-0.32840450600000004,London,Stanmore,292.0,Stanmore,,,1.0,1.0,1.0,1.0,326.0
000454-01012017,1/1/17,2017,9:52:00 PM,21,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE20,0,20302922,E09000006,BROMLEY,Bromley,E05000116,CRYSTAL PALACE,CRYSTAL PALACE,,,534250,170250,,,London,Beckenham,350.0,Beckenham,,,1.0,1.0,1.0,1.0,326.0
000017-01012017,1/1/17,2017,12:24:10 AM,0,False Alarm,False alarm - Malicious,,Dwelling,House - single occupancy ,Correct incident location,,NW6,0,20202579,E09000005,BRENT,Brent,E05000098,QUEENS PARK,QUEENS PARK,,,523750,183350,,,London,North Kensington,292.0,North Kensington,,,1.0,1.0,1.0,1.0,326.0
000328-01012017,1/1/17,2017,4:00:59 PM,16,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE9,0,20800671,E09000011,GREENWICH,Greenwich,E05000217,COLDHARBOUR AND NEW ELTHAM,COLDHARBOUR AND NEW ELTHAM,,,543150,172150,,,London,Eltham,,,,,1.0,1.0,1.0,1.0,326.0
000043-01012017,1/1/17,2017,12:40:40 AM,0,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SE17,0,22501246,E09000028,SOUTHWARK,Southwark,E05011105,Newington,Newington,,,531750,177550,,,London,Lambeth,425.0,Peckham,,,1.0,1.0,4.0,4.0,1304.0
000411-01012017,1/1/17,2017,8:07:33 PM,20,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,HA1,0,21201047,E09000015,HARROW,Harrow,E05000288,GREENHILL,GREENHILL,,,515050,188150,,,London,Harrow,451.0,Harrow,,,1.0,1.0,1.0,1.0,326.0
000330-01012017,1/1/17,2017,4:06:22 PM,16,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N1,0,20900222,E09000012,HACKNEY,Hackney,E05009378,HOXTON WEST,HOXTON WEST,,,532850,182750,,,London,Shoreditch,183.0,Shoreditch,301.0,Islington,2.0,2.0,2.0,1.0,326.0
000207-01012017,1/1/17,2017,9:11:41 AM,9,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW11,0,22902608,E09000032,WANDSWORTH,Wandsworth,E05000617,LATCHMERE,LATCHMERE,,,526650,175450,,,London,Battersea,204.0,Battersea,,,1.0,1.0,1.0,1.0,326.0
000485-01012017,1/1/17,2017,11:11:09 PM,23,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,BR1,0,20302071,E09000006,BROMLEY,Bromley,E05000109,BROMLEY TOWN,BROMLEY TOWN,,,539850,169950,,,London,Bromley,202.0,Bromley,208.0,Bromley,1.0,2.0,2.0,1.0,326.0
000110-01012017,1/1/17,2017,2:42:03 AM,2,False Alarm,AFA,,Non Residential,Multi-Storey car park,Within same building,E14 9SD,E14,6117624,22700725,E09000030,TOWER HAMLETS,Tower Hamlets,E05009318,BLACKWALL & CUBITT TOWN,BLACKWALL & CUBITT TOWN,538154.0,179788.0,538150,179750,51.50015393,-0.011001366,London,Millwall,235.0,Millwall,,,1.0,1.0,1.0,1.0,326.0
000087-01012017,1/1/17,2017,1:49:03 AM,1,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,N13,0,20703982,E09000010,ENFIELD,Enfield,E05000205,PALMERS GREEN,PALMERS GREEN,,,530950,192450,,,London,Southgate,258.0,Southgate,523.0,Edmonton,2.0,2.0,2.0,1.0,326.0
000240-01012017,1/1/17,2017,10:51:35 AM,10,Special Service,Special Service,Effecting entry/exit,Other Residential,Nursing/Care Home/Hospice,Correct incident location,SM6 0EU,SM6,5870077132,22602634,E09000029,SUTTON,Sutton,E05000570,WALLINGTON SOUTH,WALLINGTON SOUTH,528774.0,163598.0,528750,163550,51.35686741,-0.151940474,London,Wallington,190.0,Wallington,,,1.0,1.0,1.0,1.0,326.0
000067-01012017,1/1/17,2017,1:18:00 AM,1,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,CR0 4YF,CR0,100020611810,20502754,E09000008,CROYDON,Croydon,E05011465,Broad Green,Broad Green,530430.0,166485.0,530450,166450,51.38243558,-0.127112496,London,Croydon,354.0,Croydon,,,1.0,1.0,1.0,1.0,326.0
000342-01012017,1/1/17,2017,4:29:04 PM,16,False Alarm,False alarm - Good intent,,Non Residential,Restaurant/cafe,Correct incident location,N1 9AA,N1,10023219475,21606389,E09000019,ISLINGTON,Islington,E05000368,CALEDONIAN,CALEDONIAN,530335.0,183044.0,530350,183050,51.53127098,-0.122379737,London,Euston,168.0,Euston,342.0,Islington,3.0,3.0,3.0,2.0,652.0
000233-01012017,1/1/17,2017,10:39:29 AM,10,Fire,Secondary Fire,,Outdoor Structure,Barbeque ,In street close to gazetteer location,W10 6EW,W10,217127955,21701312,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009399,NOTTING DALE,NOTTING DALE,523682.0,180811.0,523650,180850,51.51269742,-0.219027135,London,North Kensington,379.0,North Kensington,469.0,Kensington,2.0,2.0,2.0,1.0,326.0
000265-01012017,1/1/17,2017,12:38:05 PM,12,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,NW1,0,20400535,E09000007,CAMDEN,Camden,E05000131,CANTELOWES,CANTELOWES,,,529750,184850,,,London,Kentish Town,211.0,Kentish Town,212.0,Kentish Town,1.0,2.0,2.0,1.0,326.0
000360-01012017,1/1/17,2017,5:58:36 PM,17,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,SE17,0,22500436,E09000028,SOUTHWARK,Southwark,E05011105,Newington,Newington,,,531950,178550,,,London,Lambeth,307.0,Lambeth,,,1.0,2.0,2.0,1.0,326.0
000459-01012017,1/1/17,2017,10:01:16 PM,22,Fire,Primary Fire,,Road Vehicle,Multiple Vehicles ,On land associated with building,UB10 8LE,UB10,100023413407,21400959,E09000017,HILLINGDON,Hillingdon,E05000333,ICKENHAM,ICKENHAM,507991.0,186338.0,507950,186350,51.5655888,-0.443358099,London,Ruislip,347.0,Hillingdon,357.0,Hillingdon,1.0,2.0,2.0,2.0,652.0
000443-01012017,1/1/17,2017,9:34:24 PM,21,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),In street close to gazetteer location,N10 3RD,N10,100021225118,21106430,E09000014,HARINGEY,Haringey,E05000274,MUSWELL HILL,MUSWELL HILL,529009.0,189356.0,529050,189350,51.58829956,-0.13917142300000002,London,Hornsey,225.0,Hornsey,,,1.0,1.0,1.0,1.0,326.0
000304-01012017,1/1/17,2017,2:32:26 PM,14,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,TW3,0,21500857,E09000018,HOUNSLOW,Hounslow,E05000360,HOUNSLOW SOUTH,HOUNSLOW SOUTH,,,514450,174750,,,London,Heston,315.0,Heston,318.0,Heston,2.0,3.0,3.0,1.0,326.0
000321-01012017,1/1/17,2017,3:38:47 PM,15,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,E1 7HT,E1,95510218,8100352,E09000001,CITY OF LONDON,City Of london,E05009292,BISHOPSGATE,BISHOPSGATE,533456.0,181627.0,533450,181650,51.51780843,-0.077948251,London,Whitechapel,213.0,Shoreditch,,,1.0,1.0,1.0,1.0,326.0
000244-01012017,1/1/17,2017,11:10:04 AM,11,Special Service,Special Service,Effecting entry/exit,Road Vehicle,Car ,In street close to gazetteer location,EC2M 2TE,EC2M,100023616284,8100580,E09000001,CITY OF LONDON,City Of london,E05009292,BISHOPSGATE,BISHOPSGATE,532887.0,181750.0,532850,181750,51.51904791,-0.086097761,London,Shoreditch,225.0,Shoreditch,,,1.0,1.0,1.0,1.0,326.0
000243-01012017,1/1/17,2017,11:04:10 AM,11,Special Service,Special Service,Medical Incident,Outdoor,Woodland/forest - broadleaf/hardwood ,Open land/water - nearest gazetteer location,EN5 5QL,EN5,200149180,20017170,E09000003,BARNET,Barnet,E05000056,HIGH BARNET,HIGH BARNET,526183.0,197239.0,526150,197250,51.65978166,-0.177104567,London,Barnet,397.0,Barnet,,,1.0,1.0,1.0,1.0,326.0
000353-01012017,1/1/17,2017,4:53:45 PM,16,Fire,Chimney Fire,,Dwelling,House - single occupancy ,Correct incident location,,SM2,0,22605401,E09000029,SUTTON,Sutton,E05000560,CHEAM,CHEAM,,,524650,163150,,,London,Sutton,278.0,Sutton,719.0,Wallington,2.0,2.0,2.0,2.0,652.0
000296-01012017,1/1/17,2017,2:06:53 PM,14,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SW8,0,21901500,E09000022,LAMBETH,Lambeth,E05000429,STOCKWELL,STOCKWELL,,,530650,177150,,,London,Lambeth,383.0,Lambeth,567.0,Lambeth,1.0,2.0,2.0,1.0,326.0
000490-01012017,1/1/17,2017,11:42:57 PM,23,Fire,Primary Fire,,Outdoor Structure,Outdoor storage ,On land associated with building,DA7 6AU,DA7,10011844977,20100184,E09000004,BEXLEY,Bexley,E05011219,Bexleyheath,Bexleyheath,550386.0,175124.0,550350,175150,51.45512786,0.163109475,London,Bexley,312.0,Bexley,478.0,Erith,2.0,2.0,2.0,1.0,326.0
000282-01012017,1/1/17,2017,1:22:42 PM,13,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,SW19 3AN,SW19,48125657,22103774,E09000024,MERTON,Merton,E05000466,MERTON PARK,MERTON PARK,525036.0,169793.0,525050,169750,51.41337769,-0.203417636,London,Wimbledon,161.0,Wimbledon,334.0,New Malden,2.0,2.0,2.0,1.0,326.0
000384-01012017,1/1/17,2017,7:11:41 PM,19,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,TW2,0,22401825,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05000533,WHITTON,WHITTON,,,514550,174150,,,London,Heston,402.0,Heston,487.0,Heston,1.0,2.0,2.0,3.0,978.0
000258-01012017,1/1/17,2017,12:20:18 PM,12,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E1,0,22701898,E09000030,TOWER HAMLETS,Tower Hamlets,E05009332,SHADWELL,SHADWELL,,,535250,180850,,,London,Shadwell,223.0,Shadwell,,,1.0,1.0,1.0,1.0,326.0
000275-01012017,1/1/17,2017,12:51:48 PM,12,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SE27,0,21902038,E09000022,LAMBETH,Lambeth,E05000424,KNIGHT'S HILL,KNIGHT'S HILL,,,532150,171350,,,London,West Norwood,184.0,West Norwood,237.0,West Norwood,1.0,2.0,2.0,4.0,1304.0
000059-01012017,1/1/17,2017,1:03:15 AM,1,False Alarm,False alarm - Good intent,,Non Residential,Single shop ,Correct incident location,SE11 5AW,SE11,10090199435,21900623,E09000022,LAMBETH,Lambeth,E05000427,PRINCE'S,PRINCE'S,530446.0,178216.0,530450,178250,51.48785702,-0.122565611,London,Lambeth,150.0,Lambeth,266.0,Lambeth,1.0,2.0,2.0,1.0,326.0
000377-01012017,1/1/17,2017,6:57:43 PM,18,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,DA15,0,20101066,E09000004,BEXLEY,Bexley,E05011220,Blackfen & Lamorbey,Blackfen & Lamorbey,,,545950,172850,,,London,Sidcup,279.0,Sidcup,,,1.0,1.0,1.0,1.0,326.0
000467-01012017,1/1/17,2017,10:20:06 PM,22,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N1,0,21605569,E09000019,ISLINGTON,Islington,E05000368,CALEDONIAN,CALEDONIAN,,,530550,183150,,,London,Euston,197.0,Euston,,,1.0,1.0,1.0,1.0,326.0
000145-01012017,1/1/17,2017,5:16:07 AM,5,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,House - single occupancy ,Correct incident location,,SW16,0,21901228,E09000022,LAMBETH,Lambeth,E05000431,STREATHAM SOUTH,STREATHAM SOUTH,,,529550,170050,,,London,Norbury,489.0,Mitcham,,,1.0,1.0,1.0,1.0,326.0
000149-01012017,1/1/17,2017,5:25:50 AM,5,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,BR2 6AG,BR2,100020429075,20302896,E09000006,BROMLEY,Bromley,E05000108,BROMLEY COMMON AND KESTON,BROMLEY COMMON AND KESTON,541551.0,163351.0,541550,163350,51.35161334,0.031346503,London,Biggin Hill,540.0,Biggin Hill,,,1.0,1.0,1.0,2.0,652.0
000475-01012017,1/1/17,2017,10:39:04 PM,22,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,TW10 6ES,TW10,100023393705,22403589,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05000528,SOUTH RICHMOND,SOUTH RICHMOND,518691.0,174765.0,518650,174750,51.4594268,-0.292947306,London,Richmond,280.0,Richmond,,,1.0,1.0,1.0,1.0,326.0
000103-01012017,1/1/17,2017,2:26:41 AM,2,False Alarm,False alarm - Good intent,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,E10 6DU,E10,200001435489,22850350,E09000031,WALTHAM FOREST,Waltham Forest,E05000595,FOREST,FOREST,538770.0,188807.0,538750,188850,51.58104818,0.001420511,London,Leytonstone,537.0,Walthamstow,,,1.0,1.0,1.0,1.0,326.0
000189-01012017,1/1/17,2017,7:59:45 AM,7,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W7,0,20600438,E09000009,EALING,Ealing,E05000171,CLEVELAND,CLEVELAND,,,515650,182150,,,London,Ealing,424.0,Ealing,508.0,Southall,2.0,2.0,2.0,1.0,326.0
000161-01012017,1/1/17,2017,6:13:52 AM,6,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,W1U 3RN,W1U,10033604674,8400283,E09000033,WESTMINSTER,Westminster,E05000641,MARYLEBONE HIGH STREET,MARYLEBONE HIGH STREET,528340.0,181302.0,528350,181350,51.51607221,-0.151759327,London,Soho,392.0,Soho,,,1.0,1.0,1.0,1.0,326.0
000406-01012017,1/1/17,2017,7:53:30 PM,19,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,NW3,0,20400314,E09000007,CAMDEN,Camden,E05000136,HAVERSTOCK,HAVERSTOCK,,,527750,185050,,,London,Kentish Town,220.0,Kentish Town,223.0,Kentish Town,1.0,2.0,2.0,1.0,326.0
000251-01012017,1/1/17,2017,11:53:13 AM,11,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W13,0,20601555,E09000009,EALING,Ealing,E05000176,ELTHORNE,ELTHORNE,,,516450,180450,,,London,Ealing,300.0,Acton,390.0,Southall,2.0,2.0,2.0,1.0,326.0
000191-01012017,1/1/17,2017,8:10:06 AM,8,Special Service,Special Service,Flooding,Other Residential,Retirement/Old Persons Home,Correct incident location,N1 0TH,N1,5300065346,21605490,E09000019,ISLINGTON,Islington,E05000366,BARNSBURY,BARNSBURY,530887.0,183481.0,530850,183450,51.53507063,-0.114263927,London,Euston,301.0,Euston,,,1.0,1.0,1.0,1.0,326.0
000072-01012017,1/1/17,2017,1:31:32 AM,1,False Alarm,AFA,,Non Residential,Bank/Building Society ,Correct incident location,SW1Y 4ND,SW1Y,200001521129,8401217,E09000033,WESTMINSTER,Westminster,E05000644,ST. JAMES'S,ST. JAMES'S,529526.0,180579.0,529550,180550,51.50930428,-0.134941911,London,Soho,,,,,2.0,2.0,2.0,2.0,652.0
000065-01012017,1/1/17,2017,1:14:00 AM,1,False Alarm,AFA,,Non Residential,Telephone exchange,Correct incident location,W3 9NZ,W3,12150701,20601052,E09000009,EALING,Ealing,E05000188,SOUTH ACTON,SOUTH ACTON,519815.0,180328.0,519850,180350,51.50918862,-0.274890736,London,Acton,383.0,Acton,,,1.0,1.0,1.0,1.0,326.0
000367-01012017,1/1/17,2017,6:10:34 PM,18,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,RM11 1GR,RM11,10091577189,21300054,E09000016,HAVERING,Havering,E05000315,HYLANDS,HYLANDS,552075.0,187658.0,552050,187650,51.56729527,0.192802202,London,Hornchurch,347.0,Dagenham,,,1.0,1.0,1.0,1.0,326.0
000156-01012017,1/1/17,2017,5:50:35 AM,5,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Correct incident location,SM1 4DD,SM1,5870113685,22602111,E09000029,SUTTON,Sutton,E05000564,SUTTON CENTRAL,SUTTON CENTRAL,525913.0,164631.0,525950,164650,51.36679176,-0.192642015,London,Sutton,330.0,Sutton,,,1.0,1.0,1.0,1.0,326.0
000134-01012017,1/1/17,2017,4:27:15 AM,4,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,SE8 3NU,SE8,100023280525,22000328,E09000023,LEWISHAM,Lewisham,E05000443,EVELYN,EVELYN,537144.0,177497.0,537150,177450,51.47981208,-0.026432959,London,Deptford,334.0,Deptford,,,1.0,1.0,1.0,1.0,326.0
000112-01012017,1/1/17,2017,2:49:03 AM,2,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,DA8,0,20101898,E09000004,BEXLEY,Bexley,E05011231,Slade Green & Northend,Slade Green & Northend,,,552250,177350,,,London,Erith,481.0,Erith,,,1.0,1.0,1.0,1.0,326.0
000249-01012017,1/1/17,2017,11:33:52 AM,11,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W3,0,20601375,E09000009,EALING,Ealing,E05000170,ACTON CENTRAL,ACTON CENTRAL,,,519950,180950,,,London,Acton,251.0,Acton,,,1.0,1.0,1.0,1.0,326.0
000085-01012017,1/1/17,2017,1:45:06 AM,1,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,W3,0,20602264,E09000009,EALING,Ealing,E05000188,SOUTH ACTON,SOUTH ACTON,,,519950,179850,,,London,Acton,922.0,Paddington,1140.0,Wandsworth,4.0,4.0,4.0,3.0,978.0
000004-01012017,1/1/17,2017,12:06:18 AM,0,False Alarm,AFA,,Non Residential,Engineering manufacturing plant,Nearby address - street not listed in gazetteer,SE2 9SG,SE2,100023249729,20800563,E09000011,GREENWICH,Greenwich,E05000214,ABBEY WOOD,ABBEY WOOD,547178.0,179210.0,547150,179250,51.49268459,0.118673515,London,Plumstead,835.0,Plumstead,,,1.0,1.0,1.0,1.0,326.0
000290-01012017,1/1/17,2017,1:39:44 PM,13,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,CR0 2AU,CR0,100022903748,20501413,E09000008,CROYDON,Croydon,E05011468,Fairfield,Fairfield,532677.0,166444.0,532650,166450,51.3815472,-0.094857867,London,Croydon,267.0,Woodside,,,2.0,3.0,3.0,1.0,326.0
000284-01012017,1/1/17,2017,1:31:27 PM,13,Special Service,Special Service,Flooding,Non Residential,Day care/Drop in centre,Correct incident location,W12 7LL,W12,34014140,21000835,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05000265,WORMHOLT AND WHITE CITY,WORMHOLT AND WHITE CITY,522612.0,180111.0,522650,180150,51.50663919,-0.234682281,London,Hammersmith,510.0,Hammersmith,,,1.0,1.0,1.0,1.0,326.0
000430-01012017,1/1/17,2017,9:02:40 PM,21,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E18,0,22302872,E09000026,REDBRIDGE,Redbridge,E05011252,South Woodford,South Woodford,,,540250,190350,,,London,Woodford,,,,,1.0,1.0,1.0,1.0,326.0
000375-01012017,1/1/17,2017,6:48:16 PM,18,Special Service,Special Service,Animal assistance incidents,Boat,Barge ,Open land/water - nearest gazetteer location,TW8 0BD,TW8,100023407885,21500607,E09000018,HOUNSLOW,Hounslow,E05000347,BRENTFORD,BRENTFORD,518452.0,177780.0,518450,177750,51.48657493,-0.295376666,London,Chiswick,238.0,Chiswick,,,1.0,1.0,1.0,2.0,652.0
000210-01012017,1/1/17,2017,9:20:19 AM,9,False Alarm,AFA,,Non Residential,Church/Chapel ,Within same building,SE18 6NL,SE18,10010203254,20801201,E09000011,GREENWICH,Greenwich,E05000230,WOOLWICH RIVERSIDE,WOOLWICH RIVERSIDE,543233.0,179157.0,543250,179150,51.49322065,0.06186503,London,Plumstead,243.0,Plumstead,,,1.0,1.0,1.0,1.0,326.0
000052-01012017,1/1/17,2017,12:53:10 AM,0,Special Service,Special Service,Medical Incident - Co-responder,Non Residential,Pub/wine bar/bar ,Correct incident location,SW9 9BT,SW9,100021824804,21900345,E09000022,LAMBETH,Lambeth,E05000425,LARKHALL,LARKHALL,530055.0,175710.0,530050,175750,51.46542603,-0.129115176,London,Clapham,3.0,Tooting,,,1.0,1.0,1.0,1.0,326.0
000452-01012017,1/1/17,2017,9:50:00 PM,21,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,N5,0,21603291,E09000019,ISLINGTON,Islington,E05000377,MILDMAY,MILDMAY,,,532550,185150,,,London,Islington,316.0,Islington,,,1.0,1.0,1.0,1.0,326.0
000260-01012017,1/1/17,2017,12:23:37 PM,12,Special Service,Special Service,Animal assistance incidents,Non Residential,Single shop ,Within same building,CR0 1TL,CR0,100022902387,20501238,E09000008,CROYDON,Croydon,E05011468,Fairfield,Fairfield,532185.0,165905.0,532150,165950,51.376818,-0.102123891,London,Croydon,871.0,Woodside,,,1.0,1.0,1.0,1.0,326.0
000139-01012017,1/1/17,2017,4:54:54 AM,4,Special Service,Special Service,Other Transport incident,Non Residential,Train station - platform (below ground) ,Correct incident location,W1D 2DH,W1D,100023469728,8400159,E09000033,WESTMINSTER,Westminster,E05000649,WEST END,WEST END,529789.0,181364.0,529750,181350,51.51629869,-0.130865402,London,Soho,220.0,Soho,654.0,Soho,1.0,2.0,2.0,1.0,326.0
000477-01012017,1/1/17,2017,10:52:57 PM,22,Special Service,Special Service,Animal assistance incidents,Outdoor,Animal harm outdoors,In street outside gazetteer location,HA7 4JP,HA7,768007302,21200933,E09000015,HARROW,Harrow,E05000303,STANMORE PARK,STANMORE PARK,517167.0,192558.0,517150,192550,51.61966181,-0.308955482,London,Stanmore,218.0,Stanmore,270.0,Stanmore,1.0,2.0,2.0,1.0,326.0
000074-01012017,1/1/17,2017,1:34:25 AM,1,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,W3,0,20601052,E09000009,EALING,Ealing,E05000170,ACTON CENTRAL,ACTON CENTRAL,,,519950,180450,,,London,Acton,583.0,Southall,860.0,Fulham,3.0,4.0,4.0,3.0,978.0
000295-01012017,1/1/17,2017,2:00:08 PM,14,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW3,0,21500896,E09000018,HOUNSLOW,Hounslow,E05000358,HOUNSLOW CENTRAL,HOUNSLOW CENTRAL,,,514050,175850,,,London,Heston,,,,,1.0,1.0,1.0,1.0,326.0
